"1","2","3","4","Game"
"1","6","Yohan Blake","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.116"
"2","4","Tyson Gay","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.117"
"3","7","Adam Gemili","Great Britain","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.118"
"4","8","Derrick Atkins","Bahamas","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.119"
"5","9","Justyn Warner","Canada","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.120"
"6","5","Ryota Yamagata","Japan","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.121"
"7","3","Rondel Sorrillo","Trinidad and Tobago","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.122"
"8","2","Kemar Hyman","Cayman Islands","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.123"
NA,NA,"","","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.124"
"01 !","7","Usain Bolt","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.125"
"02 !","5","Yohan Blake","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.126"
"03 !","6","Justin Gatlin","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.127"
"4","8","Ryan Bailey","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.128"
"5","9","Churandy Martina","Netherlands","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.129"
"6","2","Richard Thompson","Trinidad and Tobago","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.130"
"7","3","Asafa Powell","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.131"
"DQ","4","Tyson Gay","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.132"
"",NA,"","","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.133"
"1","Feta Ahamada","Comoros","11.81","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres.1"
